Unnamed: 0,_id,date,bug,__,ns,nd,nf,entrophy,la,ld,lt,fix,ndev,age,nuc,exp,rexp,sexp
0,7ff9b5e7960c9af4d2ba07d3470483b51a02c825,1388666079,1,1,2,2,2,0.3912435636292557,26,0,3661,1,11,23.48954282407407,124,3167,140.77972515874953,305
1,712b704995b043e4a4d99ad30227e5434cb6503c,1388667687,1,1,2,2,2,0.6136190195993708,32,1,3340,1,22,8.89355324074074,214,3169,142.7236156304756,305
2,ac2334c5e86fc350c298c6647ae4cbd01cc6fb31,1388669717,1,1,2,2,3,1.0408520829727552,23,1,5542,1,24,15.701801697530867,279,3172,145.6087921634119,305
3,3743c4479cbac2ff6c8704e9f0a938a9ad18c145,1388748289,0,0,1,1,1,0.0,2,4,736,0,27,28.828171296296297,325,10181,654.0536132900223,122
4,a8c16bcddf8ea1c15574f4c6305041f3a02174d1,1388759616,0,0,1,1,1,0.0,1,6,98,0,3,816.1555092592591,8,10182,654.9130713497927,13
5,a9f59f5a249a7f22519f90b482e2619a1a2459d1,1388768589,0,0,1,2,2,0.8453509366224365,5,6,3133,0,11,642.5220601851853,166,10184,656.7252947882192,1234
6,72a2dd63bdac100bd99c0df62690bd2dfb915634,1388769524,0,0,1,2,2,0.8080927832245586,8,117,649,1,7,652.9445891203702,31,103,103.0,5
7,34cf1bdbcef86349b12798d93b90bfae77c8a52f,1388769640,0,0,1,1,1,0.0,3,4,1296,1,9,654.9470949074074,57,104,103.99731841509086,6
8,e1051acac48de2e59e4c3d2d0f46898b4067bf9a,1388979609,0,0,1,1,1,0.0,4,0,636,1,12,52.807106481481476,53,105,2.395903731836416,54
9,25dbd9e17c7b6920dccf1b458296dbbe00f382de,1389004548,1,1,2,6,21,3.257345578848277,347,293,50795,1,31,74.40314551767676,1330,139,24.34085056451575,66
10,75539f3ab0e73a2b15f1fc62429d01cf2819baa7,1389009601,1,1,1,1,1,0.0,25,26,2103,0,4,25.9190625,20,9538,19.081994069756803,65
11,0dd37821ded6cabd80be1e485c81e88c1a17a94f,1389014845,0,0,2,2,2,0.9876925088958034,21,2,1131,0,11,449.5368460648148,74,450,149.42816100803736,135
12,23f99b8ee2d416cf9b0622bf3ddf2ea4961ce8f4,1389015187,1,1,1,2,5,2.0061974604252453,52,50,11586,1,19,0.12313657407407408,331,10189,657.4449815129249,122
13,5388a4d8d85e37aca7900d6712dbfdecbd3eda4d,1389019430,1,1,2,2,2,0.6121961274908339,50,3,3895,1,16,28.011869212962967,91,107,4.0689316636072865,57
14,ad704373cea78f3c29e047ad44aaf6e254d7c32f,1389023632,0,0,1,1,1,0.0,2,11,5888,0,17,0.2208796296296296,197,10190,657.4793417830208,122
15,1a9cac53d4ac29d3f80117ac2f0972315a7c6461,1389023635,1,1,1,1,1,0.0,2,2,5879,0,17,0.0005555555555555557,198,10191,658.4789925873159,122
16,a4e4a10b05d87e208100de0a8e7c789cfbdbdfad,1389024475,1,1,1,4,7,2.5892283007806918,55,41,6547,0,11,66.31563492063492,243,10198,665.3724062790484,1234
17,f897454e4ec6158ce545354916ecdac6812fe09b,1389024582,1,1,1,1,1,0.0,12,2,226,0,3,275.9191319444444,19,10199,666.3503000397139,38
18,16bbff04917b9cd9bd7cceaf4adfc1563daef0bc,1389049268,1,1,2,3,8,2.4640250466791667,65,12,10484,1,26,10.582388599537037,981,3180,144.31512682892588,305
19,898da07e1ab8f70e81db909fb2e1c38edc9b87c3,1389056717,1,1,2,4,8,2.422608092367499,125,94,19501,1,32,18.736684027777773,1406,3188,151.60071337173932,305
20,c2c89873c61d71348f0b43a177f550bf104965a7,1389068804,1,1,1,1,1,0.0,67,1,3665,1,8,0.5714583333333333,51,140,15.941124454706824,34
21,0034505de2732b8d694205cdc539038707e38e58,1389093650,1,1,2,2,3,1.4499019093938157,41,34,4391,1,14,0.7833719135802468,92,10202,660.6414297338822,187
22,a8aaf742050ddcf06a8f62a218f3fab795bb82af,1389094344,0,0,1,1,1,0.0,1,1,374,0,2,14.717013888888891,38,1438,32.77241834215876,228
23,b194948ba50d941338edfde90b53618594f5f418,1389095317,1,1,1,1,1,0.0,36,0,2192,1,4,4.949421296296296,47,1439,33.75733694877181,49
24,0de00d336e9c071a476c71edaf6f207f2d316e7d,1389107157,0,0,1,2,3,1.1994602933016414,16,0,10670,1,22,141.74199074074073,847,3,3.0,3
25,7a7f5fba4fb9ca143bacc8f985fa98b7d06f1f81,1389108077,0,0,1,2,3,1.584962500721156,6,3,10686,0,22,3.8097453703703694,850,9541,21.504913296178756,1269
26,466143081ae1cae12c4b4dbb9bd90e6db3bfee55,1389108870,0,0,1,1,2,0.5435644431995964,8,8,2052,0,13,116.09582175925928,256,10204,661.1654219586129,1234
27,3a5401b27a838fcf33757f0b2ef8214fd68d66ea,1389110971,1,1,2,4,6,1.712405977068181,163,84,23059,1,25,37.96914737654321,711,146,18.843523846864336,69
28,e788af814a64e70ab3a9cd6cb10f201dff372018,1389112788,1,1,2,2,2,1.0,33,5,8281,1,13,7.572355324074074,149,3190,147.13083758113453,305
29,c945180bdb2eaecff5db76edf8cbad26f61754a5,1389112791,1,1,1,1,2,0.3193373865339728,58,11,1392,1,2,7.794589120370372,72,3192,149.13054474558,236
30,1e302d0e8b80cb29d9d8ffac754bc44f21cd1c12,1389112793,1,1,1,1,1,0.0,1,1,329,1,2,0.2021875,25,3193,150.13030323384666,236
31,7e61b3f01f8b2328acee556fdc4ddf75c1702dd3,1389112797,1,1,1,1,1,0.0,18,8,329,1,2,0.18694444444444444,26,3194,151.12977393992063,236
32,f98c9e376d07d0e65cfd307c772db2eeb92af6b9,1389112800,1,1,2,2,3,1.0682796540892634,73,42,5139,1,8,12.973344907407407,138,3197,154.12934227200597,305
33,04cb549b8e23ffc2e75d5b460930d5ea6de0b991,1389112803,0,0,1,1,1,0.0,6,0,1130,1,2,0.12560185185185185,50,3198,155.128806463629,236
